state,fips,cases,deaths
Washington,53,406659,5547
Illinois,17,1343273,24358
California,06,3744913,61923
Arizona,04,863927,17344
Massachusetts,25,691172,17621
Wisconsin,55,661890,7567
Texas,48,2897207,50470
Nebraska,31,220127,2366
Utah,49,398077,2204
Oregon,41,186344,2516
Florida,12,2242770,35267
New York,36,2053027,51830
Rhode Island,44,148186,2671
Georgia,13,1078321,19586
New Hampshire,33,95377,1305
North Carolina,37,970673,12677
New Jersey,34,1000009,25600
Colorado,08,516337,6438
Maryland,24,449180,8776
Nevada,32,315438,5464
Tennessee,47,832935,12100
Hawaii,15,32989,480
Indiana,18,725964,13349
Kentucky,21,448339,6634
Minnesota,27,579328,7253
Oklahoma,40,448305,6788
Pennsylvania,42,1161184,26327
South Carolina,45,580273,9520
District of Columbia,11,47855,1106
Kansas,20,311218,5025
Missouri,29,602466,9253
Vermont,50,23126,247
Virginia,51,661314,10791
Connecticut,09,339233,8097
Iowa,19,365519,5959
Louisiana,22,458581,10382
Ohio,39,1075004,19284
Michigan,26,939387,18883
South Dakota,46,122660,1967
Arkansas,05,336105,5743
Delaware,10,104909,1626
Mississippi,28,311900,7199
New Mexico,35,197733,4069
North Dakota,38,107739,1525
Wyoming,56,58142,707
Alaska,02,67598,330
Maine,23,61847,789
Alabama,01,528597,10913
Idaho,16,187728,2048
Montana,30,109106,1574
West Virginia,54,153918,2686
