state,fips,cases,deaths
Washington,53,406546,5547
Illinois,17,1341493,24330
California,06,3743529,61852
Arizona,04,863571,17338
Massachusetts,25,690279,17617
Wisconsin,55,661414,7569
Texas,48,2896004,50455
Nebraska,31,220032,2366
Utah,49,397798,2203
Oregon,41,185621,2514
Florida,12,2238929,35238
New York,36,2050174,51791
Rhode Island,44,148186,2671
Georgia,13,1077047,19586
New Hampshire,33,95163,1304
North Carolina,37,970673,12677
New Jersey,34,998811,25588
Colorado,08,515125,6434
Maryland,24,448529,8764
Nevada,32,315438,5464
Tennessee,47,832906,12100
Hawaii,15,32882,480
Indiana,18,724895,13338
Kentucky,21,448026,6631
Minnesota,27,577617,7247
Oklahoma,40,448305,6788
Pennsylvania,42,1158964,26307
South Carolina,45,579556,9506
District of Columbia,11,47800,1106
Kansas,20,311213,5025
Missouri,29,601861,9250
Vermont,50,23032,247
Virginia,51,660553,10777
Connecticut,09,339233,8097
Iowa,19,365228,5952
Louisiana,22,458581,10382
Ohio,39,1074019,19284
Michigan,26,939334,18883
South Dakota,46,122660,1967
Arkansas,05,335968,5741
Delaware,10,104621,1626
Mississippi,28,311900,7199
New Mexico,35,197733,4069
North Dakota,38,107670,1525
Wyoming,56,58142,707
Alaska,02,67598,330
Maine,23,61616,789
Alabama,01,528309,10913
Idaho,16,187728,2048
Montana,30,109061,1574
West Virginia,54,153498,2679
