state,fips,cases,deaths
Washington,53,402049,5522
Illinois,17,1332089,24211
California,06,3738220,61570
Arizona,04,860772,17282
Massachusetts,25,686243,17578
Wisconsin,55,658908,7534
Texas,48,2886646,50271
Nebraska,31,219341,2362
Utah,49,396586,2190
Oregon,41,182960,2506
Florida,12,2222538,35029
New York,36,2038668,51608
Rhode Island,44,147601,2668
Georgia,13,1072961,19475
New Hampshire,33,94405,1296
North Carolina,37,966397,12642
New Jersey,34,993121,25495
Colorado,08,508930,6406
Maryland,24,445681,8709
Nevada,32,314475,5448
Tennessee,47,830660,12074
Hawaii,15,32465,479
Indiana,18,720874,13312
Kentucky,21,445990,6602
Minnesota,27,572103,7191
Oklahoma,40,447642,6788
Pennsylvania,42,1148422,26185
South Carolina,45,576639,9472
District of Columbia,11,47533,1104
Kansas,20,310641,5021
Missouri,29,599445,9230
Vermont,50,22723,246
Virginia,51,657160,10736
Connecticut,09,337961,8080
Iowa,19,364033,5931
Louisiana,22,457326,10367
Ohio,39,1068985,19188
Michigan,26,927753,18589
South Dakota,46,122398,1962
Arkansas,05,335289,5726
Delaware,10,103844,1622
Mississippi,28,311493,7193
New Mexico,35,197219,4053
North Dakota,38,107185,1517
Wyoming,56,57999,707
Alaska,02,67290,330
Maine,23,60691,778
Alabama,01,527083,10879
Idaho,16,187348,2047
Montana,30,108598,1567
West Virginia,54,152301,2673
