state,fips,cases,deaths
Washington,53,429514,5747
Illinois,17,1378492,24976
California,06,3776409,62902
Arizona,04,876411,17547
Massachusetts,25,704796,17818
Wisconsin,55,672476,7748
Texas,48,2941273,51366
Nebraska,31,222884,2377
Utah,49,404316,2290
Oregon,41,198356,2642
Florida,12,2308258,36462
New York,36,2092455,52572
Rhode Island,44,151258,2704
Georgia,13,1095026,20010
New Hampshire,33,98244,1344
North Carolina,37,996511,12984
New Jersey,34,1013787,26072
Colorado,08,539898,6646
Maryland,24,458239,8990
Nevada,32,322352,5552
Tennessee,47,845633,12280
Hawaii,15,34610,491
Indiana,18,742961,13553
Kentucky,21,457756,6866
Minnesota,27,598420,7456
Oklahoma,40,451830,6918
Pennsylvania,42,1198106,27079
South Carolina,45,590645,9674
District of Columbia,11,48727,1125
Kansas,20,315046,5092
Missouri,29,611807,9572
Vermont,50,24084,255
Virginia,51,672793,11097
Connecticut,09,346325,8212
Iowa,19,370517,6035
Louisiana,22,467815,10522
Ohio,39,1096617,19709
Michigan,26,985433,20125
South Dakota,46,123911,2001
Arkansas,05,340040,5816
Delaware,10,108280,1659
Mississippi,28,316272,7279
New Mexico,35,201868,4133
North Dakota,38,109607,1537
Wyoming,56,59660,713
Alaska,02,69329,352
Maine,23,66863,819
Alabama,01,541928,11112
Idaho,16,191139,2082
Montana,30,111267,1603
West Virginia,54,159735,2772
