state,fips,cases,deaths
Washington,53,418879,5637
Illinois,17,1361775,24617
California,06,3761716,62362
Arizona,04,870155,17428
Massachusetts,25,698427,17698
Wisconsin,55,667187,7666
Texas,48,2920327,50883
Nebraska,31,221911,2373
Utah,49,400850,2236
Oregon,41,192416,2559
Florida,12,2275357,35830
New York,36,2073713,52234
Rhode Island,44,150097,2694
Georgia,13,1086839,19753
New Hampshire,33,96933,1318
North Carolina,37,985664,12826
New Jersey,34,1008607,25840
Colorado,08,528405,6508
Maryland,24,453992,8870
Nevada,32,319250,5509
Tennessee,47,840049,12194
Hawaii,15,33723,485
Indiana,18,734296,13434
Kentucky,21,452902,6717
Minnesota,27,589620,7333
Oklahoma,40,450400,6832
Pennsylvania,42,1181864,26650
South Carolina,45,585219,9596
District of Columbia,11,48282,1113
Kansas,20,312986,5059
Missouri,29,606922,9356
Vermont,50,23606,251
Virginia,51,667586,10919
Connecticut,09,343954,8156
Iowa,19,368190,5989
Louisiana,22,463517,10451
Ohio,39,1085733,19441
Michigan,26,966735,19500
South Dakota,46,123435,1981
Arkansas,05,337819,5770
Delaware,10,106341,1644
Mississippi,28,313942,7240
New Mexico,35,200037,4110
North Dakota,38,108682,1532
Wyoming,56,58835,712
Alaska,02,68617,334
Maine,23,64446,797
Alabama,01,531404,10985
Idaho,16,189427,2060
Montana,30,110208,1593
West Virginia,54,156875,2734
