state,fips,cases,deaths
Washington,53,415873,5609
Illinois,17,1357051,24546
California,06,3756989,62269
Arizona,04,868382,17407
Massachusetts,25,696540,17676
Wisconsin,55,666042,7652
Texas,48,2913554,50789
Nebraska,31,221347,2378
Utah,49,400185,2223
Oregon,41,190804,2542
Florida,12,2266567,35699
New York,36,2068200,52118
Rhode Island,44,149577,2687
Georgia,13,1084835,19731
New Hampshire,33,96501,1314
North Carolina,37,981358,12803
New Jersey,34,1007555,25791
Colorado,08,524782,6491
Maryland,24,452882,8843
Nevada,32,317980,5498
Tennessee,47,838024,12158
Hawaii,15,33540,484
Indiana,18,732135,13405
Kentucky,21,451864,6686
Minnesota,27,587052,7317
Oklahoma,40,449648,6832
Pennsylvania,42,1176855,26578
South Carolina,45,583996,9586
District of Columbia,11,48164,1110
Kansas,20,312637,5058
Missouri,29,605885,9332
Vermont,50,23445,249
Virginia,51,666111,10885
Connecticut,09,342718,8137
Iowa,19,367563,5984
Louisiana,22,461773,10433
Ohio,39,1082815,19428
Michigan,26,961053,19363
South Dakota,46,123233,1980
Arkansas,05,337415,5760
Delaware,10,105948,1636
Mississippi,28,313166,7228
New Mexico,35,199333,4100
North Dakota,38,108469,1529
Wyoming,56,58623,710
Alaska,02,68324,332
Maine,23,63750,795
Alabama,01,530744,10978
Idaho,16,188857,2063
Montana,30,109986,1592
West Virginia,54,156001,2726
