state,fips,cases,deaths
Washington,53,399327,5498
Illinois,17,1326850,24150
California,06,3734358,61484
Arizona,04,859487,17268
Massachusetts,25,683665,17562
Wisconsin,55,657144,7473
Texas,48,2878727,50133
Nebraska,31,218832,2361
Utah,49,395741,2183
Oregon,41,181413,2501
Florida,12,2212089,34911
New York,36,2032325,51511
Rhode Island,44,146960,2663
Georgia,13,1070237,19391
New Hampshire,33,93935,1286
North Carolina,37,962978,12587
New Jersey,34,988886,25399
Colorado,08,505526,6390
Maryland,24,444001,8670
Nevada,32,313680,5433
Tennessee,47,828528,12055
Hawaii,15,32349,475
Indiana,18,718771,13280
Kentucky,21,444547,6575
Minnesota,27,569518,7157
Oklahoma,40,447278,6716
Pennsylvania,42,1141219,26042
South Carolina,45,575515,9433
District of Columbia,11,47378,1099
Kansas,20,310013,5010
Missouri,29,597967,9182
Vermont,50,22617,244
Virginia,51,654929,10706
Connecticut,09,336933,8066
Iowa,19,363158,5927
Louisiana,22,456432,10342
Ohio,39,1065702,19122
Michigan,26,918370,18439
South Dakota,46,122080,1960
Arkansas,05,334769,5720
Delaware,10,103459,1617
Mississippi,28,310987,7178
New Mexico,35,196844,4029
North Dakota,38,106840,1517
Wyoming,56,57818,705
Alaska,02,66967,330
Maine,23,60005,772
Alabama,01,526348,10852
Idaho,16,186875,2036
Montana,30,108227,1563
West Virginia,54,151671,2821
