state,fips,cases,deaths
Washington,53,395354,5477
Illinois,17,1319947,24083
California,06,3729954,61389
Arizona,04,857347,17238
Massachusetts,25,680007,17528
Wisconsin,55,655560,7452
Texas,48,2870810,50045
Nebraska,31,218197,2355
Utah,49,394742,2179
Oregon,41,179124,2493
Florida,12,2196494,34758
New York,36,2021094,51361
Rhode Island,44,146324,2660
Georgia,13,1067121,19299
New Hampshire,33,93231,1281
North Carolina,37,957785,12552
New Jersey,34,993414,25328
Colorado,08,501502,6368
Maryland,24,441341,8633
Nevada,32,312840,5422
Tennessee,47,826550,12045
Hawaii,15,32114,474
Indiana,18,716160,13256
Kentucky,21,443504,6517
Minnesota,27,564662,7142
Oklahoma,40,446550,6716
Pennsylvania,42,1132212,25990
South Carolina,45,573225,9404
District of Columbia,11,47141,1099
Kansas,20,309544,5009
Missouri,29,596543,9172
Vermont,50,22416,243
Virginia,51,652321,10666
Connecticut,09,334766,8047
Iowa,19,362334,5907
Louisiana,22,455541,10336
Ohio,39,1061907,19122
Michigan,26,906038,18272
South Dakota,46,121850,1957
Arkansas,05,334458,5716
Delaware,10,102593,1609
Mississippi,28,310349,7175
New Mexico,35,196221,4026
North Dakota,38,106568,1517
Wyoming,56,57696,705
Alaska,02,66518,318
Maine,23,59239,771
Alabama,01,525477,10840
Idaho,16,186297,2033
Montana,30,107988,1559
West Virginia,54,150693,2813
