state,fips,cases,deaths
Washington,53,429514,5747
Illinois,17,1377403,24935
California,06,3775625,62856
Arizona,04,875766,17531
Massachusetts,25,704345,17813
Wisconsin,55,672122,7745
Texas,48,2940296,51326
Nebraska,31,222884,2377
Utah,49,404054,2289
Oregon,41,197851,2637
Florida,12,2304852,36440
New York,36,2091142,52555
Rhode Island,44,151258,2704
Georgia,13,1094445,19987
New Hampshire,33,98168,1341
North Carolina,37,996385,12982
New Jersey,34,1013409,26059
Colorado,08,539123,6639
Maryland,24,457718,8973
Nevada,32,322352,5552
Tennessee,47,845633,12280
Hawaii,15,34521,491
Indiana,18,742295,13547
Kentucky,21,457466,6861
Minnesota,27,597824,7447
Oklahoma,40,451830,6918
Pennsylvania,42,1198106,27043
South Carolina,45,590314,9672
District of Columbia,11,48689,1125
Kansas,20,315045,5092
Missouri,29,611490,9571
Vermont,50,24065,255
Virginia,51,672312,11074
Connecticut,09,346325,8212
Iowa,19,370363,6035
Louisiana,22,467815,10522
Ohio,39,1095746,19709
Michigan,26,984245,20036
South Dakota,46,123911,2001
Arkansas,05,339863,5811
Delaware,10,108166,1654
Mississippi,28,316272,7279
New Mexico,35,201868,4133
North Dakota,38,109539,1537
Wyoming,56,59660,713
Alaska,02,69329,352
Maine,23,66704,818
Alabama,01,541673,11080
Idaho,16,191139,2082
Montana,30,111265,1604
West Virginia,54,159735,2772
