state,fips,cases,deaths
Washington,53,409151,5555
Illinois,17,1345483,24389
California,06,3747125,61960
Arizona,04,864579,17344
Massachusetts,25,691735,17639
Wisconsin,55,662281,7567
Texas,48,2901418,50484
Nebraska,31,220225,2371
Utah,49,398305,2204
Oregon,41,186923,2518
Florida,12,2245845,35306
New York,36,2055467,51889
Rhode Island,44,148669,2678
Georgia,13,1079178,19601
New Hampshire,33,95506,1305
North Carolina,37,974852,12715
New Jersey,34,1000992,25616
Colorado,08,517439,6443
Maryland,24,449701,8797
Nevada,32,316239,5473
Tennessee,47,834739,12108
Hawaii,15,33060,481
Indiana,18,726760,13350
Kentucky,21,448728,6642
Minnesota,27,580433,7256
Oklahoma,40,448872,6788
Pennsylvania,42,1163552,26330
South Carolina,45,580794,9524
District of Columbia,11,47903,1106
Kansas,20,311715,5029
Missouri,29,603024,9255
Vermont,50,23158,248
Virginia,51,661925,10807
Connecticut,09,340545,8112
Iowa,19,365750,5959
Louisiana,22,459340,10393
Ohio,39,1075999,19284
Michigan,26,944908,18910
South Dakota,46,122745,1970
Arkansas,05,336166,5747
Delaware,10,105067,1626
Mississippi,28,312400,7207
New Mexico,35,198372,4075
North Dakota,38,107794,1525
Wyoming,56,58290,707
Alaska,02,67872,331
Maine,23,62092,790
Alabama,01,528784,10913
Idaho,16,188101,2054
Montana,30,109209,1574
West Virginia,54,154207,2686
