state,fips,cases,deaths
Washington,53,417677,5630
Illinois,17,1360247,24590
California,06,3760124,62331
Arizona,04,869472,17409
Massachusetts,25,697872,17698
Wisconsin,55,666613,7652
Texas,48,2917400,50828
Nebraska,31,221500,2374
Utah,49,400624,2225
Oregon,41,191837,2549
Florida,12,2272094,35782
New York,36,2072264,52192
Rhode Island,44,149948,2690
Georgia,13,1085897,19731
New Hampshire,33,96801,1315
North Carolina,37,984647,12814
New Jersey,34,1008046,25809
Colorado,08,527186,6494
Maryland,24,453592,8861
Nevada,32,318780,5506
Tennessee,47,839439,12178
Hawaii,15,33665,485
Indiana,18,733631,13419
Kentucky,21,452284,6699
Minnesota,27,589045,7324
Oklahoma,40,450315,6832
Pennsylvania,42,1179648,26597
South Carolina,45,584932,9596
District of Columbia,11,48195,1110
Kansas,20,312985,5059
Missouri,29,606513,9337
Vermont,50,23541,249
Virginia,51,666986,10902
Connecticut,09,343545,8154
Iowa,19,367909,5985
Louisiana,22,462868,10438
Ohio,39,1084322,19428
Michigan,26,964067,19398
South Dakota,46,123310,1981
Arkansas,05,337586,5764
Delaware,10,106252,1641
Mississippi,28,313675,7234
New Mexico,35,199901,4108
North Dakota,38,108556,1529
Wyoming,56,58764,710
Alaska,02,68559,332
Maine,23,64208,795
Alabama,01,531094,10978
Idaho,16,189199,2063
Montana,30,110051,1592
West Virginia,54,156617,2729
