state,fips,cases,deaths
Washington,53,413004,5598
Illinois,17,1352140,24483
California,06,3753527,62168
Arizona,04,866623,17367
Massachusetts,25,694769,17663
Wisconsin,55,664673,7614
Texas,48,2909093,50690
Nebraska,31,220933,2379
Utah,49,399439,2219
Oregon,41,189162,2531
Florida,12,2258425,35548
New York,36,2062707,52038
Rhode Island,44,149384,2685
Georgia,13,1082584,19661
New Hampshire,33,96134,1311
North Carolina,37,979336,12761
New Jersey,34,1005938,25740
Colorado,08,521743,6482
Maryland,24,451458,8822
Nevada,32,317482,5490
Tennessee,47,837185,12148
Hawaii,15,33309,483
Indiana,18,729923,13379
Kentucky,21,450840,6664
Minnesota,27,584320,7297
Oklahoma,40,449414,6832
Pennsylvania,42,1171863,26497
South Carolina,45,582506,9558
District of Columbia,11,48080,1110
Kansas,20,312206,5041
Missouri,29,604806,9323
Vermont,50,23296,249
Virginia,51,664394,10861
Connecticut,09,342282,8131
Iowa,19,366946,5980
Louisiana,22,461210,10425
Ohio,39,1080121,19344
Michigan,26,955197,19209
South Dakota,46,123157,1977
Arkansas,05,336948,5757
Delaware,10,105572,1629
Mississippi,28,312926,7226
New Mexico,35,199054,4091
North Dakota,38,108249,1530
Wyoming,56,58527,710
Alaska,02,68208,332
Maine,23,63175,793
Alabama,01,530011,10946
Idaho,16,188668,2055
Montana,30,109704,1580
West Virginia,54,155341,2713
