state,fips,cases,deaths
Washington,53,427913,5735
Illinois,17,1375837,24913
California,06,3774301,62810
Arizona,04,875195,17509
Massachusetts,25,703897,17802
Wisconsin,55,671658,7734
Texas,48,2938728,51283
Nebraska,31,222780,2368
Utah,49,403754,2279
Oregon,41,197356,2632
Florida,12,2302481,36346
New York,36,2089547,52531
Rhode Island,44,150948,2703
Georgia,13,1093751,19943
New Hampshire,33,98091,1341
North Carolina,37,995303,12974
New Jersey,34,1012757,26041
Colorado,08,537563,6615
Maryland,24,457275,8959
Nevada,32,322018,5550
Tennessee,47,845134,12264
Hawaii,15,34474,489
Indiana,18,741506,13525
Kentucky,21,457013,6858
Minnesota,27,597145,7426
Oklahoma,40,451645,6918
Pennsylvania,42,1196398,27019
South Carolina,45,589846,9669
District of Columbia,11,48662,1125
Kansas,20,314668,5089
Missouri,29,610827,9557
Vermont,50,24026,255
Virginia,51,671916,11068
Connecticut,09,346154,8208
Iowa,19,370195,6025
Louisiana,22,467475,10517
Ohio,39,1094742,19628
Michigan,26,983077,19998
South Dakota,46,123877,2001
Arkansas,05,339662,5808
Delaware,10,108031,1652
Mississippi,28,316167,7278
New Mexico,35,201695,4128
North Dakota,38,109470,1537
Wyoming,56,59590,713
Alaska,02,69263,352
Maine,23,66534,816
Alabama,01,541230,11077
Idaho,16,190972,2082
Montana,30,111128,1604
West Virginia,54,159450,2769
