state,fips,cases,deaths
Washington,53,393514,5472
Illinois,17,1316497,24056
California,06,3727713,61289
Arizona,04,856451,17221
Massachusetts,25,678386,17515
Wisconsin,55,654681,7438
Texas,48,2868177,49981
Nebraska,31,217905,2349
Utah,49,394398,2178
Oregon,41,178110,2484
Florida,12,2191030,34695
New York,36,2016244,51299
Rhode Island,44,146028,2660
Georgia,13,1065319,19258
New Hampshire,33,92911,1274
North Carolina,37,955791,12534
New Jersey,34,990580,25282
Colorado,08,499513,6360
Maryland,24,440178,8625
Nevada,32,312278,5400
Tennessee,47,825274,12035
Hawaii,15,31977,473
Indiana,18,715087,13252
Kentucky,21,442918,6494
Minnesota,27,562498,7132
Oklahoma,40,446246,6716
Pennsylvania,42,1128144,25934
South Carolina,45,572248,9388
District of Columbia,11,47040,1098
Kansas,20,309069,5002
Missouri,29,595623,9169
Vermont,50,22325,243
Virginia,51,650981,10653
Connecticut,09,333732,8039
Iowa,19,361891,5904
Louisiana,22,455000,10324
Ohio,39,1060119,19033
Michigan,26,900423,18239
South Dakota,46,121651,1956
Arkansas,05,334222,5711
Delaware,10,102267,1604
Mississippi,28,310137,7173
New Mexico,35,195990,4025
North Dakota,38,106416,1515
Wyoming,56,57613,705
Alaska,02,66370,318
Maine,23,58868,769
Alabama,01,525049,10824
Idaho,16,186081,2029
Montana,30,107834,1557
West Virginia,54,150288,2808
