state,fips,cases,deaths
Washington,53,426949,5720
Illinois,17,1374215,24864
California,06,3772740,62759
Arizona,04,874605,17497
Massachusetts,25,703292,17794
Wisconsin,55,671089,7732
Texas,48,2937010,51238
Nebraska,31,222676,2367
Utah,49,403488,2275
Oregon,41,196845,2627
Florida,12,2299588,36270
New York,36,2087900,52505
Rhode Island,44,150737,2703
Georgia,13,1092959,19921
New Hampshire,33,97978,1340
North Carolina,37,994187,12962
New Jersey,34,1012196,26018
Colorado,08,536892,6611
Maryland,24,456956,8957
Nevada,32,321716,5545
Tennessee,47,844579,12254
Hawaii,15,34396,489
Indiana,18,740613,13518
Kentucky,21,456510,6846
Minnesota,27,596279,7418
Oklahoma,40,451473,6918
Pennsylvania,42,1194659,26981
South Carolina,45,589488,9667
District of Columbia,11,48634,1124
Kansas,20,314639,5089
Missouri,29,610209,9550
Vermont,50,23988,255
Virginia,51,671325,11048
Connecticut,09,345948,8204
Iowa,19,369987,6018
Louisiana,22,467055,10509
Ohio,39,1093534,19628
Michigan,26,981455,19915
South Dakota,46,123822,1994
Arkansas,05,339406,5805
Delaware,10,107928,1652
Mississippi,28,315891,7269
New Mexico,35,201489,4124
North Dakota,38,109392,1536
Wyoming,56,59376,713
Alaska,02,69186,352
Maine,23,66315,807
Alabama,01,540891,11045
Idaho,16,190784,2076
Montana,30,111095,1602
West Virginia,54,159149,2767
