state,fips,cases,deaths
Washington,53,423721,5663
Illinois,17,1367431,24725
California,06,3766679,62625
Arizona,04,872022,17447
Massachusetts,25,700337,17742
Wisconsin,55,669018,7707
Texas,48,2927610,51068
Nebraska,31,222335,2378
Utah,49,402072,2256
Oregon,41,194542,2598
Florida,12,2286195,35999
New York,36,2080000,52366
Rhode Island,44,150385,2700
Georgia,13,1089737,19837
New Hampshire,33,97430,1329
North Carolina,37,989865,12885
New Jersey,34,1009844,25931
Colorado,08,532922,6567
Maryland,24,455449,8908
Nevada,32,320539,5530
Tennessee,47,842266,12213
Hawaii,15,33966,487
Indiana,18,736920,13466
Kentucky,21,454523,6744
Minnesota,27,592843,7376
Oklahoma,40,450847,6878
Pennsylvania,42,1187953,26780
South Carolina,45,586585,9627
District of Columbia,11,48424,1116
Kansas,20,313776,5079
Missouri,29,608341,9388
Vermont,50,23792,252
Virginia,51,669219,10991
Connecticut,09,344977,8173
Iowa,19,369055,5999
Louisiana,22,464833,10478
Ohio,39,1089357,19528
Michigan,26,973953,19665
South Dakota,46,123644,1991
Arkansas,05,338485,5790
Delaware,10,106715,1651
Mississippi,28,314710,7254
New Mexico,35,200650,4115
North Dakota,38,109003,1534
Wyoming,56,59079,712
Alaska,02,68897,336
Maine,23,65348,799
Alabama,01,537813,11024
Idaho,16,189982,2071
Montana,30,110662,1598
West Virginia,54,157923,2756
