state,fips,cases,deaths
Washington,53,396890,5478
Illinois,17,1322640,24114
California,06,3730328,61427
Arizona,04,858076,17260
Massachusetts,25,681570,17544
Wisconsin,55,656203,7474
Texas,48,2872818,50087
Nebraska,31,218580,2356
Utah,49,395214,2180
Oregon,41,179930,2496
Florida,12,2203905,34811
New York,36,2025257,51419
Rhode Island,44,146324,2660
Georgia,13,1068594,19355
New Hampshire,33,93542,1282
North Carolina,37,957970,12553
New Jersey,34,996197,25367
Colorado,08,502704,6381
Maryland,24,442537,8648
Nevada,32,312840,5422
Tennessee,47,826608,12045
Hawaii,15,32165,475
Indiana,18,717263,13271
Kentucky,21,443955,6544
Minnesota,27,566765,7150
Oklahoma,40,446550,6716
Pennsylvania,42,1135903,26033
South Carolina,45,574226,9414
District of Columbia,11,47219,1099
Kansas,20,309544,5009
Missouri,29,597228,9179
Vermont,50,22479,244
Virginia,51,653326,10675
Connecticut,09,334766,8047
Iowa,19,362732,5927
Louisiana,22,455541,10336
Ohio,39,1063433,19122
Michigan,26,911090,18398
South Dakota,46,121986,1958
Arkansas,05,334642,5717
Delaware,10,102927,1615
Mississippi,28,310349,7175
New Mexico,35,196221,4026
North Dakota,38,106687,1517
Wyoming,56,57696,705
Alaska,02,66518,318
Maine,23,59612,772
Alabama,01,525898,10851
Idaho,16,186300,2033
Montana,30,108121,1563
West Virginia,54,151068,2817
