state,fips,cases,deaths
Washington,53,414479,5609
Illinois,17,1355405,24524
California,06,3755676,62210
Arizona,04,867443,17391
Massachusetts,25,695745,17668
Wisconsin,55,665422,7625
Texas,48,2912023,50748
Nebraska,31,221153,2380
Utah,49,399825,2223
Oregon,41,190064,2539
Florida,12,2262590,35634
New York,36,2065172,52077
Rhode Island,44,149577,2687
Georgia,13,1083828,19701
New Hampshire,33,96337,1311
North Carolina,37,981197,12804
New Jersey,34,1006905,25769
Colorado,08,523758,6489
Maryland,24,452226,8833
Nevada,32,317980,5498
Tennessee,47,837967,12158
Hawaii,15,33452,483
Indiana,18,731086,13397
Kentucky,21,451453,6672
Minnesota,27,585770,7309
Oklahoma,40,449648,6832
Pennsylvania,42,1174510,26547
South Carolina,45,583373,9566
District of Columbia,11,48136,1110
Kansas,20,312637,5058
Missouri,29,605406,9329
Vermont,50,23393,249
Virginia,51,665332,10874
Connecticut,09,342718,8137
Iowa,19,367292,5983
Louisiana,22,461773,10433
Ohio,39,1081518,19428
Michigan,26,958534,19239
South Dakota,46,123233,1980
Arkansas,05,337170,5759
Delaware,10,105775,1629
Mississippi,28,313166,7228
New Mexico,35,199333,4100
North Dakota,38,108371,1529
Wyoming,56,58623,710
Alaska,02,68324,332
Maine,23,63463,794
Alabama,01,530325,10966
Idaho,16,188857,2063
Montana,30,109853,1592
West Virginia,54,155680,2719
