state,fips,cases,deaths
Washington,53,415942,5609
Illinois,17,1358716,24577
California,06,3758062,62309
Arizona,04,868830,17409
Massachusetts,25,697398,17682
Wisconsin,55,666381,7652
Texas,48,2914818,50806
Nebraska,31,221434,2377
Utah,49,400417,2224
Oregon,41,191405,2543
Florida,12,2269798,35730
New York,36,2070603,52155
Rhode Island,44,149577,2687
Georgia,13,1085449,19730
New Hampshire,33,96624,1315
North Carolina,37,981358,12803
New Jersey,34,1007894,25801
Colorado,08,526228,6494
Maryland,24,453316,8851
Nevada,32,317980,5498
Tennessee,47,838061,12158
Hawaii,15,33613,485
Indiana,18,733040,13418
Kentucky,21,452059,6689
Minnesota,27,587855,7324
Oklahoma,40,449648,6832
Pennsylvania,42,1177967,26589
South Carolina,45,584517,9592
District of Columbia,11,48180,1110
Kansas,20,312637,5058
Missouri,29,606180,9334
Vermont,50,23486,249
Virginia,51,666650,10895
Connecticut,09,342718,8137
Iowa,19,367715,5985
Louisiana,22,461773,10433
Ohio,39,1083609,19428
Michigan,26,961082,19363
South Dakota,46,123233,1980
Arkansas,05,337510,5761
Delaware,10,106148,1636
Mississippi,28,313166,7228
New Mexico,35,199333,4100
North Dakota,38,108512,1529
Wyoming,56,58623,710
Alaska,02,68324,332
Maine,23,63994,795
Alabama,01,530988,10978
Idaho,16,188857,2063
Montana,30,110021,1592
West Virginia,54,156406,2726
