state,fips,cases,deaths
Washington,53,424499,5663
Illinois,17,1368875,24770
California,06,3767991,62646
Arizona,04,872496,17459
Massachusetts,25,701490,17747
Wisconsin,55,669636,7712
Texas,48,2928700,51105
Nebraska,31,222335,2378
Utah,49,402392,2258
Oregon,41,195179,2600
Florida,12,2289514,36055
New York,36,2081761,52377
Rhode Island,44,150385,2700
Georgia,13,1090477,19859
New Hampshire,33,97563,1331
North Carolina,37,990114,12885
New Jersey,34,1010490,25952
Colorado,08,533999,6583
Maryland,24,455827,8925
Nevada,32,320539,5530
Tennessee,47,842329,12213
Hawaii,15,34064,488
Indiana,18,738064,13471
Kentucky,21,454940,6821
Minnesota,27,593715,7379
Oklahoma,40,450847,6878
Pennsylvania,42,1189690,26803
South Carolina,45,588110,9638
District of Columbia,11,48530,1118
Kansas,20,313776,5079
Missouri,29,608709,9392
Vermont,50,23847,252
Virginia,51,669918,11008
Connecticut,09,344977,8173
Iowa,19,369230,6001
Louisiana,22,464833,10478
Ohio,39,1090276,19528
Michigan,26,975388,19775
South Dakota,46,123644,1991
Arkansas,05,338687,5793
Delaware,10,106873,1651
Mississippi,28,314710,7254
New Mexico,35,200650,4115
North Dakota,38,109087,1534
Wyoming,56,59079,712
Alaska,02,68897,336
Maine,23,65523,801
Alabama,01,539829,11038
Idaho,16,189982,2071
Montana,30,110738,1598
West Virginia,54,158230,2757
