state,fips,cases,deaths
Washington,53,404972,5547
Illinois,17,1338687,24291
California,06,3741951,61755
Arizona,04,862497,17324
Massachusetts,25,688973,17610
Wisconsin,55,660662,7550
Texas,48,2893960,50403
Nebraska,31,219826,2366
Utah,49,397388,2202
Oregon,41,184838,2511
Florida,12,2233510,35160
New York,36,2046322,51728
Rhode Island,44,148186,2671
Georgia,13,1075835,19564
New Hampshire,33,94886,1303
North Carolina,37,970599,12676
New Jersey,34,997222,25554
Colorado,08,513752,6432
Maryland,24,447590,8744
Nevada,32,315438,5464
Tennessee,47,832853,12100
Hawaii,15,32767,480
Indiana,18,723741,13332
Kentucky,21,447473,6620
Minnesota,27,575905,7237
Oklahoma,40,448305,6788
Pennsylvania,42,1156246,26275
South Carolina,45,578659,9497
District of Columbia,11,47697,1105
Kansas,20,311213,5025
Missouri,29,600910,9243
Vermont,50,22952,246
Virginia,51,659590,10770
Connecticut,09,339233,8097
Iowa,19,364841,5950
Louisiana,22,458581,10382
Ohio,39,1072312,19284
Michigan,26,935781,18743
South Dakota,46,122660,1967
Arkansas,05,335725,5739
Delaware,10,104405,1625
Mississippi,28,311900,7199
New Mexico,35,197733,4069
North Dakota,38,107504,1523
Wyoming,56,58142,707
Alaska,02,67598,330
Maine,23,61213,784
Alabama,01,527922,10896
Idaho,16,187726,2048
Montana,30,108931,1572
West Virginia,54,153128,2679
